날짜,시가총액,거래량,거래대금,상장주식수,거래소코드,회사명,시장
2016-01-31,394243723900,186694,8251481000,9364459,095570,AJ네트웍스,kospi
2016-02-29,327756065000,399449,14478749350,9364459,095570,AJ네트웍스,kospi
2016-03-31,388625048500,474449,19214166200,9364459,095570,AJ네트웍스,kospi
2016-04-30,377387697700,253985,9892688400,9364459,095570,AJ네트웍스,kospi
2016-05-31,327756065000,181369,6544734900,9364459,095570,AJ네트웍스,kospi
2016-06-30,324946727300,200474,6938838050,9364459,095570,AJ네트웍스,kospi
2016-07-31,341334530550,294180,10628730150,9364459,095570,AJ네트웍스,kospi
2016-08-31,300599133900,352373,12813194150,9364459,095570,AJ네트웍스,kospi
2016-09-30,288425337200,1861157,63062430800,9364459,095570,AJ네트웍스,kospi
2016-10-31,292639343750,951137,31483895700,9364459,095570,AJ네트웍스,kospi
2016-11-30,277656209350,566989,16673200850,9364459,095570,AJ네트웍스,kospi
2016-12-31,304344917500,662000,20012452850,9364459,095570,AJ네트웍스,kospi
2016-01-31,248038560000,3123847,33127902710,22146300,068400,SK렌터카,kospi
2016-02-29,259111710000,2639725,29637870150,22146300,068400,SK렌터카,kospi
2016-03-31,248038560000,3167006,36887727400,22146300,068400,SK렌터카,kospi
2016-04-30,239180040000,2650283,29533744600,22146300,068400,SK렌터카,kospi
2016-05-31,208396683000,4208671,41512421930,22146300,068400,SK렌터카,kospi
2016-06-30,228106890000,5120864,51068202700,22146300,068400,SK렌터카,kospi
2016-07-31,231428835000,2976911,30909624550,22146300,068400,SK렌터카,kospi
2016-08-31,219026907000,4119557,43565955300,22146300,068400,SK렌터카,kospi
2016-09-30,216812277000,2401306,23223509450,22146300,068400,SK렌터카,kospi
2016-10-31,218805444000,12454655,139683502760,22146300,068400,SK렌터카,kospi
2016-11-30,187357698000,3512933,31738939650,22146300,068400,SK렌터카,kospi
2016-12-31,184921605000,2320995,19618195670,22146300,068400,SK렌터카,kospi
2016-01-31,621972988950,1851998,92819458250,13247561,006840,AK홀딩스,kospi
2016-02-29,714043537900,1517472,73883089800,13247561,006840,AK홀딩스,kospi
2016-03-31,743188172100,1262609,70533055000,13247561,006840,AK홀딩스,kospi
2016-04-30,794853660000,1013419,61939058300,13247561,006840,AK홀딩스,kospi
2016-05-31,951174879800,1432759,89107763000,13247561,006840,AK홀딩스,kospi
2016-06-30,874339026000,1058749,70959761000,13247561,006840,AK홀딩스,kospi
2016-07-31,878313294300,921742,63199203100,13247561,006840,AK홀딩스,kospi
2016-08-31,792204147800,1447283,95098364000,13247561,006840,AK홀딩스,kospi
2016-09-30,798827928300,788925,46610364600,13247561,006840,AK홀딩스,kospi
2016-10-31,816049757600,576302,34756724000,13247561,006840,AK홀딩스,kospi
2016-11-30,763059513600,776950,45711616600,13247561,006840,AK홀딩스,kospi
2016-12-31,741863416000,651615,36196541500,13247561,006840,AK홀딩스,kospi
2016-01-31,5326402260000,1646047,322974329288,24773964,027410,BGF,kospi
2016-02-29,4025769150000,3413571,597505936500,24773964,027410,BGF,kospi
2016-03-31,4062930096000,1441862,242222074149,24773964,027410,BGF,kospi
2016-04-30,4607957304000,1404110,261054252986,24773964,027410,BGF,kospi
2016-05-31,5437885098000,1678501,351233996237,24773964,027410,BGF,kospi
2016-06-30,5289241314000,1513031,321797264762,24773964,027410,BGF,kospi
2016-07-31,4942405818000,1250249,261315677706,24773964,027410,BGF,kospi
2016-08-31,5016727710000,1256287,256927726090,24773964,027410,BGF,kospi
2016-09-30,4781375052000,2214984,420920123875,24773964,027410,BGF,kospi
2016-10-31,4310669736000,973908,174738364500,24773964,027410,BGF,kospi
2016-11-30,2155334868000,1661083,234282787600,24773964,027410,BGF,kospi
2016-12-31,4052995725000,2033203,172896185400,49547625,027410,BGF,kospi
2016-01-31,2300857861540,31338115,258971816260,255935246,138930,BNK금융지주,kospi
2016-02-29,2806302468060,20332561,178037071786,325935246,138930,BNK금융지주,kospi
2016-03-31,3161571886200,22670731,210226020398,325935246,138930,BNK금융지주,kospi
2016-04-30,3027938435340,21536462,202162387734,325935246,138930,BNK금융지주,kospi
2016-05-31,2851933402500,17212184,149778044270,325935246,138930,BNK금융지주,kospi
2016-06-30,2630297435220,18895332,161694916590,325935246,138930,BNK금융지주,kospi
2016-07-31,2871489517260,15519710,132523661144,325935246,138930,BNK금융지주,kospi
2016-08-31,2884526927100,15588764,137014758010,325935246,138930,BNK금융지주,kospi
2016-09-30,2796524410680,12120527,105597863010,325935246,138930,BNK금융지주,kospi
2016-10-31,3027938435340,21170989,194823890288,325935246,138930,BNK금융지주,kospi
2016-11-30,2920379804160,21592496,198748051940,325935246,138930,BNK금융지주,kospi
2016-12-31,2829117935280,16097490,143593709325,325935246,138930,BNK금융지주,kospi
2016-01-31,317304420000,7487,3524045000,624615,001460,BYC,kospi
2016-02-29,366649005000,10324,5729371000,624615,001460,BYC,kospi
2016-03-31,324799800000,14479,7836542000,624615,001460,BYC,kospi
