티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
005930,46150,275505464682500,21621145,1007418016957,5969782550,20190131
000660,73900,53799374773500,4447535,333396826950,728002365,20190131
005935,37500,30858251250000,2574883,96489896250,822886700,20190131
005380,129500,27670030216500,509642,66073780500,213668187,20190131
068270,219000,27474893127000,843225,184416293000,125456133,20190131
207940,399000,26399835000000,161333,63954964000,66165000,20190131
051910,368000,25977982224000,366641,135844833750,70592343,20190131
005490,274000,23889192790000,408983,113663885000,87186835,20190131
028260,120000,22762805160000,232564,27864962500,189690043,20190131
035420,136000,22414621720000,1054276,147213667242,164813395,20190131
015760,34500,22147760656500,2347829,80548531800,641964077,20190131
012330,225000,21902369175000,263647,59139971000,97343863,20190131
017670,258000,20832393438000,234773,60570279500,80745711,20190131
055550,43200,20485422158400,1495426,64628838300,474199587,20190131
105560,48050,20090259352850,2272775,109204235750,418111537,20190131
051900,1265000,19757019205000,35530,45080634000,15618197,20190131
034730,263500,18539938259500,106974,28253829000,70360297,20190131
032830,88300,17660000000000,1138071,100747702200,200000000,20190131
096770,188500,17429758814000,317210,59767772500,92465564,20190131
018260,223500,17293938300000,93229,20811152000,77377800,20190131
006400,223500,15368872455000,369895,83272913000,68764530,20190131
000270,36350,14734957663450,1088374,39634738050,405363347,20190131
033780,99100,13605686452700,384678,38302734600,137292497,20190131
003550,77700,13407689078700,257040,19969297800,172557131,20190131
000810,273000,12933330501000,93072,25459322500,47374837,20190131
086790,39950,11994670376900,2060088,82143133542,300242062,20190131
010950,104500,11764901764000,288329,30084842500,112582792,20190131
066570,66600,10898944412400,903199,60423535800,163647814,20190131
090430,181500,10610215935000,404998,73474654000,58458490,20190131
091990,74400,10455175245600,730839,54465241100,140526549,20190131
011170,300000,10282625700000,118017,35535933500,34275419,20190131
036570,468500,10278431807000,124938,58734412500,21939022,20190131
000030,14800,10004800000000,0,0,676000000,20190131
009540,138500,9802076566000,1538515,213985391500,70773116,20190131
251270,107000,9123475268000,266698,28959088000,85266124,20190131
010130,440500,8312235000000,42331,18665785500,18870000,20190131
035720,99300,8280405858900,546040,54221358100,83387773,20190131
009150,108000,8066919168000,2223925,245638531000,74693696,20190131
024110,14250,7979698113750,1561298,22334598450,559978815,20190131
